# x	y	u	v	flags	mask
1.5644e+00	3.3050e+00	1.8200e+00	1.6740e+00	0.0000e+00	0.0000e+00
1.7820e+00	3.3050e+00	2.3847e+00	1.4675e+00	0.0000e+00	0.0000e+00
1.9996e+00	3.3050e+00	2.9451e+00	3.1438e-01	0.0000e+00	0.0000e+00
2.2172e+00	3.3050e+00	2.8543e+00	-2.4311e-01	0.0000e+00	0.0000e+00
2.4347e+00	3.3050e+00	1.9706e+00	-1.4998e+00	0.0000e+00	0.0000e+00
2.6523e+00	3.3050e+00	1.3736e+00	-1.4491e+00	0.0000e+00	0.0000e+00
2.8699e+00	3.3050e+00	8.9429e-01	-1.3923e+00	0.0000e+00	0.0000e+00
3.0874e+00	3.3050e+00	6.3331e-01	-1.2282e+00	0.0000e+00	0.0000e+00
3.3050e+00	3.3050e+00	4.5610e-01	-1.0889e+00	0.0000e+00	0.0000e+00
3.5226e+00	3.3050e+00	3.5382e-01	-1.0063e+00	0.0000e+00	0.0000e+00
3.7402e+00	3.3050e+00	2.6193e-01	-9.2826e-01	0.0000e+00	0.0000e+00
3.9577e+00	3.3050e+00	2.0266e-01	-8.1157e-01	0.0000e+00	0.0000e+00
4.1753e+00	3.3050e+00	1.3737e-01	-7.3338e-01	0.0000e+00	0.0000e+00
4.3929e+00	3.3050e+00	1.0637e-01	-6.4951e-01	0.0000e+00	0.0000e+00
4.6104e+00	3.3050e+00	7.3522e-02	-5.9932e-01	0.0000e+00	0.0000e+00
4.8280e+00	3.3050e+00	7.3662e-02	-5.8650e-01	0.0000e+00	0.0000e+00
5.0456e+00	3.3050e+00	4.5806e-02	-5.5639e-01	0.0000e+00	0.0000e+00
2.5901e-01	3.0874e+00	1.4864e-01	9.4708e-01	0.0000e+00	0.0000e+00
4.7659e-01	3.0874e+00	2.2754e-01	1.0545e+00	0.0000e+00	0.0000e+00
6.9416e-01	3.0874e+00	2.6281e-01	1.2159e+00	0.0000e+00	0.0000e+00
9.1173e-01	3.0874e+00	4.1152e-01	1.4551e+00	0.0000e+00	0.0000e+00
1.1293e+00	3.0874e+00	5.7847e-01	1.6612e+00	0.0000e+00	0.0000e+00
1.3469e+00	3.0874e+00	9.1063e-01	2.0829e+00	0.0000e+00	0.0000e+00
1.5644e+00	3.0874e+00	5.4828e-01	1.2469e+00	1.0000e+00	0.0000e+00
1.7820e+00	3.0874e+00	2.2421e+00	2.1356e+00	0.0000e+00	0.0000e+00
1.9996e+00	3.0874e+00	-3.7870e+00	6.1394e+00	0.0000e+00	0.0000e+00
2.2172e+00	3.0874e+00	5.5182e-01	-4.9263e-02	1.0000e+00	0.0000e+00
2.4347e+00	3.0874e+00	1.9265e+00	-1.9476e+00	0.0000e+00	0.0000e+00
2.6523e+00	3.0874e+00	1.0423e+00	-2.0557e+00	0.0000e+00	0.0000e+00
